Delivery ID,Supplier ID,Supplier Name,Category,Month,Delivery Date,Scheduled Date,Lead Time Days,On Time,Days Late,Order Quantity,Defective Units,Defect Rate %,Documentation Compliant,Volume % of Total Spend
DEL00414,SUP-006,ClearSeal Packaging,Packaging,2024-01,2024-01-12,2024-01-09,9,Yes,0,1436,34,2.37,Yes,8
DEL00704,SUP-010,EcoBox Solutions,Packaging,2024-01,2024-01-12,2024-01-09,13,Yes,0,2408,62,2.6,Yes,6
DEL00348,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-13,2024-01-11,7,Yes,0,5774,40,0.7,Yes,9
DEL00492,SUP-007,Rocky Mountain Spices,Additives,2024-01,2024-01-13,2024-01-09,6,Yes,0,1682,11,0.71,Yes,7
DEL00088,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-14,2024-01-10,19,No,1,6382,457,7.17,No,14
DEL00266,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-14,2024-01-13,17,Yes,0,7703,303,3.95,Yes,10
DEL00350,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-14,2024-01-09,6,Yes,0,6170,48,0.78,Yes,9
DEL00085,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-15,2024-01-15,16,No,3,2184,143,6.59,Yes,14
DEL00260,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-15,2024-01-13,14,Yes,0,4614,129,2.81,Yes,10
DEL00556,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-01,2024-01-15,2024-01-10,16,No,7,4160,291,7.02,No,7
DEL00557,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-01,2024-01-15,2024-01-10,19,No,6,5502,300,5.46,No,7
DEL00638,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-15,2024-01-10,10,Yes,0,2427,65,2.68,No,9
DEL00166,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-01,2024-01-16,2024-01-16,9,Yes,0,1517,14,0.94,Yes,12
DEL00267,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-16,2024-01-16,7,No,7,3318,127,3.83,Yes,10
DEL00347,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-16,2024-01-12,7,No,6,1339,8,0.6,Yes,9
DEL00554,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-01,2024-01-16,2024-01-11,24,Yes,0,981,65,6.66,Yes,7
DEL00004,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-01,2024-01-18,2024-01-13,7,Yes,0,1042,16,1.55,No,18
DEL00639,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-18,2024-01-13,10,Yes,0,2913,102,3.53,Yes,9
DEL00413,SUP-006,ClearSeal Packaging,Packaging,2024-01,2024-01-19,2024-01-18,14,Yes,0,947,21,2.27,Yes,8
DEL00415,SUP-006,ClearSeal Packaging,Packaging,2024-01,2024-01-19,2024-01-15,12,Yes,0,2774,42,1.53,Yes,8
DEL00002,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-01,2024-01-20,2024-01-16,6,Yes,0,3889,27,0.71,Yes,18
DEL00706,SUP-010,EcoBox Solutions,Packaging,2024-01,2024-01-20,2024-01-20,9,Yes,0,7894,105,1.33,Yes,6
DEL00001,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-01,2024-01-21,2024-01-20,7,Yes,0,5838,76,1.31,Yes,18
DEL00167,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-01,2024-01-21,2024-01-16,7,Yes,0,1273,45,3.58,Yes,12
DEL00416,SUP-006,ClearSeal Packaging,Packaging,2024-01,2024-01-21,2024-01-18,10,Yes,0,4637,135,2.92,Yes,8
DEL00495,SUP-007,Rocky Mountain Spices,Additives,2024-01,2024-01-21,2024-01-16,9,Yes,0,1795,16,0.91,Yes,7
DEL00086,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-22,2024-01-21,15,No,1,6976,314,4.5,No,14
DEL00349,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-22,2024-01-17,7,Yes,0,5388,50,0.94,Yes,9
DEL00491,SUP-007,Rocky Mountain Spices,Additives,2024-01,2024-01-22,2024-01-19,6,Yes,0,5806,80,1.38,Yes,7
DEL00641,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-22,2024-01-18,11,Yes,0,3576,134,3.77,Yes,9
DEL00264,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-23,2024-01-18,14,No,6,5580,334,6.0,No,10
DEL00005,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-01,2024-01-24,2024-01-22,8,Yes,0,2993,23,0.8,Yes,18
DEL00087,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-24,2024-01-20,16,Yes,0,1750,91,5.22,Yes,14
DEL00345,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-25,2024-01-20,7,Yes,0,6850,12,0.18,Yes,9
DEL00494,SUP-007,Rocky Mountain Spices,Additives,2024-01,2024-01-27,2024-01-25,9,Yes,0,4519,60,1.35,Yes,7
DEL00089,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-28,2024-01-25,20,No,5,3109,152,4.9,Yes,14
DEL00493,SUP-007,Rocky Mountain Spices,Additives,2024-01,2024-01-28,2024-01-27,8,Yes,0,6671,71,1.07,Yes,7
DEL00636,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-28,2024-01-26,10,Yes,0,1411,14,1.01,Yes,9
DEL00009,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-01,2024-01-29,6,Yes,0,5699,39,0.69,Yes,18
DEL00171,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-01,2024-01-29,9,Yes,0,6851,71,1.04,Yes,12
DEL00356,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-01,2024-01-29,7,Yes,0,5834,61,1.05,Yes,9
DEL00357,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-01,2024-01-27,6,Yes,0,6520,59,0.91,Yes,9
DEL00708,SUP-010,EcoBox Solutions,Packaging,2024-02,2024-02-01,2024-01-30,10,Yes,0,1672,17,1.06,Yes,6
DEL00270,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-02,2024-02-02,2024-02-02,9,Yes,0,6014,315,5.24,Yes,10
DEL00417,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-02,2024-01-30,8,Yes,0,7988,239,2.99,Yes,8
DEL00007,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-03,2024-02-02,9,Yes,0,6044,34,0.57,Yes,18
DEL00094,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-04,2024-02-01,14,No,11,3501,164,4.69,Yes,14
DEL00418,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-04,2024-02-02,12,Yes,0,6982,135,1.94,Yes,8
DEL00563,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-04,2024-01-31,17,Yes,0,4749,155,3.27,No,7
DEL00644,SUP-009,Northern Flavours Ltd.,Additives,2024-02,2024-02-04,2024-01-30,11,Yes,0,2794,43,1.57,Yes,9
DEL00559,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-06,2024-02-06,16,No,2,7555,96,1.28,No,7
DEL00709,SUP-010,EcoBox Solutions,Packaging,2024-02,2024-02-06,2024-02-06,4,Yes,0,5875,162,2.76,Yes,6
DEL00562,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-07,2024-02-05,16,No,1,6334,492,7.78,Yes,7
DEL00169,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-08,2024-02-04,9,Yes,0,4997,96,1.93,Yes,12
DEL00423,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-08,2024-02-08,14,Yes,0,7952,152,1.92,No,8
DEL00499,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-08,2024-02-04,7,Yes,0,1935,14,0.76,Yes,7
DEL00642,SUP-009,Northern Flavours Ltd.,Additives,2024-02,2024-02-08,2024-02-03,8,Yes,0,2334,46,2.0,Yes,9
DEL00711,SUP-010,EcoBox Solutions,Packaging,2024-02,2024-02-08,2024-02-05,13,Yes,0,788,25,3.23,Yes,6
DEL00093,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-09,2024-02-04,12,No,7,1237,33,2.7,Yes,14
DEL00096,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-09,2024-02-06,17,Yes,0,4595,279,6.08,Yes,14
DEL00497,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-09,2024-02-06,7,Yes,0,7351,41,0.57,Yes,7
DEL00558,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-09,2024-02-09,18,Yes,0,4714,291,6.19,Yes,7
DEL00419,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-10,2024-02-09,12,Yes,0,2157,38,1.8,Yes,8
DEL00422,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-10,2024-02-09,13,Yes,0,2739,42,1.55,Yes,8
DEL00496,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-12,2024-02-08,8,Yes,0,3446,21,0.61,Yes,7
DEL00645,SUP-009,Northern Flavours Ltd.,Additives,2024-02,2024-02-12,2024-02-09,10,Yes,0,1270,15,1.25,Yes,9
DEL00646,SUP-009,Northern Flavours Ltd.,Additives,2024-02,2024-02-12,2024-02-09,8,Yes,0,5666,187,3.3,Yes,9
DEL00006,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-13,2024-02-10,7,Yes,0,1514,17,1.15,Yes,18
DEL00561,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-13,2024-02-13,24,Yes,0,5642,295,5.24,No,7
DEL00271,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-02,2024-02-14,2024-02-14,18,No,1,7531,467,6.21,No,10
DEL00010,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-15,2024-02-10,6,Yes,0,774,7,0.98,Yes,18
DEL00354,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-16,2024-02-14,7,Yes,0,6570,72,1.1,Yes,9
DEL00420,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-16,2024-02-16,7,Yes,0,4846,66,1.36,Yes,8
DEL00707,SUP-010,EcoBox Solutions,Packaging,2024-02,2024-02-16,2024-02-11,7,Yes,0,6238,168,2.7,No,6
DEL00358,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-17,2024-02-15,8,Yes,0,4062,19,0.48,Yes,9
DEL00564,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-17,2024-02-12,8,No,5,4467,227,5.1,No,7
DEL00173,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-18,2024-02-13,11,Yes,0,4264,121,2.86,Yes,12
DEL00175,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-18,2024-02-17,10,Yes,0,2115,44,2.12,Yes,12
DEL00269,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-02,2024-02-18,2024-02-15,17,No,10,7556,257,3.4,No,10
DEL00421,SUP-006,ClearSeal Packaging,Packaging,2024-02,2024-02-18,2024-02-17,12,No,6,7897,209,2.65,No,8
DEL00095,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-19,2024-02-16,10,No,11,6000,219,3.65,Yes,14
DEL00174,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-19,2024-02-18,11,No,9,537,9,1.75,Yes,12
DEL00352,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-19,2024-02-16,7,No,1,1198,5,0.47,Yes,9
DEL00012,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-20,2024-02-17,6,Yes,0,7995,77,0.98,No,18
DEL00170,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-20,2024-02-18,13,Yes,0,3213,50,1.56,Yes,12
DEL00008,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-21,2024-02-18,6,Yes,0,1075,3,0.29,Yes,18
DEL00268,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-02,2024-02-21,2024-02-19,6,Yes,0,3823,123,3.24,Yes,10
DEL00353,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-21,2024-02-19,6,Yes,0,7877,40,0.51,Yes,9
DEL00011,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-23,2024-02-23,9,Yes,0,4370,29,0.67,Yes,18
DEL00013,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-02,2024-02-23,2024-02-21,6,Yes,0,4055,34,0.85,Yes,18
DEL00498,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-24,2024-02-19,8,Yes,0,5034,34,0.69,Yes,7
DEL00710,SUP-010,EcoBox Solutions,Packaging,2024-02,2024-02-24,2024-02-19,9,Yes,0,5560,73,1.33,Yes,6
DEL00091,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-25,2024-02-20,11,Yes,0,7721,410,5.32,Yes,14
DEL00172,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-25,2024-02-24,8,Yes,0,7908,125,1.59,Yes,12
DEL00355,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-02,2024-02-25,2024-02-24,6,Yes,0,1377,5,0.4,Yes,9
DEL00501,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-25,2024-02-21,9,Yes,0,525,4,0.77,Yes,7
DEL00092,SUP-002,Maple Packaging Ltd.,Packaging,2024-02,2024-02-26,2024-02-24,9,No,1,5904,446,7.57,Yes,14
DEL00500,SUP-007,Rocky Mountain Spices,Additives,2024-02,2024-02-26,2024-02-22,6,Yes,0,1818,16,0.9,Yes,7
DEL00560,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-02,2024-02-26,2024-02-26,19,Yes,0,3051,161,5.3,Yes,7
DEL00643,SUP-009,Northern Flavours Ltd.,Additives,2024-02,2024-02-26,2024-02-25,10,No,12,2187,56,2.58,Yes,9
DEL00177,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-27,2024-02-23,6,Yes,0,6803,173,2.55,Yes,12
DEL00178,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-27,2024-02-25,9,Yes,0,5446,177,3.26,Yes,12
DEL00176,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-02,2024-02-28,2024-02-26,11,Yes,0,1934,30,1.6,Yes,12
DEL00015,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-01,2024-02-29,5,Yes,0,2130,19,0.93,Yes,18
DEL00279,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-01,2024-02-25,16,No,12,5044,183,3.63,No,10
DEL00361,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-01,2024-02-27,7,Yes,0,7787,63,0.82,Yes,9
DEL00567,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-01,2024-02-29,13,Yes,0,7808,529,6.79,Yes,7
DEL00714,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-01,2024-02-29,11,Yes,0,751,26,3.47,Yes,6
DEL00277,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-02,2024-02-27,8,Yes,0,2875,115,4.02,Yes,10
DEL00566,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-02,2024-02-28,16,Yes,0,2026,87,4.3,No,7
DEL00105,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-03,2024-03-02,17,Yes,0,3242,211,6.51,No,14
DEL00272,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-03,2024-02-29,17,Yes,0,3331,191,5.76,No,10
DEL00364,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-03,2024-03-03,7,No,6,2950,32,1.09,Yes,9
DEL00278,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-04,2024-03-03,9,Yes,0,5035,169,3.36,No,10
DEL00713,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-04,2024-02-29,7,Yes,0,3700,97,2.62,Yes,6
DEL00017,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-05,2024-03-02,7,Yes,0,2219,6,0.3,Yes,18
DEL00021,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-05,2024-03-03,8,Yes,0,5736,52,0.92,Yes,18
DEL00104,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-05,2024-03-01,13,Yes,0,6545,351,5.37,Yes,14
DEL00424,SUP-006,ClearSeal Packaging,Packaging,2024-03,2024-03-05,2024-03-02,13,Yes,0,3007,59,1.96,Yes,8
DEL00098,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-06,2024-03-03,9,No,3,4048,270,6.67,Yes,14
DEL00568,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-06,2024-03-05,19,Yes,0,1648,118,7.17,Yes,7
DEL00715,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-06,2024-03-02,13,Yes,0,4734,128,2.72,No,6
DEL00716,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-06,2024-03-02,8,Yes,0,2511,62,2.47,Yes,6
DEL00503,SUP-007,Rocky Mountain Spices,Additives,2024-03,2024-03-07,2024-03-06,9,Yes,0,3912,23,0.59,Yes,7
DEL00273,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-08,2024-03-07,14,Yes,0,3583,173,4.85,No,10
DEL00359,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-08,2024-03-08,7,No,6,6041,58,0.97,Yes,9
DEL00648,SUP-009,Northern Flavours Ltd.,Additives,2024-03,2024-03-08,2024-03-08,11,Yes,0,2152,76,3.57,Yes,9
DEL00650,SUP-009,Northern Flavours Ltd.,Additives,2024-03,2024-03-08,2024-03-05,7,Yes,0,4057,24,0.59,Yes,9
DEL00712,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-08,2024-03-07,8,Yes,0,6946,99,1.44,Yes,6
DEL00185,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-09,2024-03-07,8,Yes,0,4088,101,2.49,Yes,12
DEL00275,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-09,2024-03-05,11,Yes,0,4181,180,4.31,Yes,10
DEL00101,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-10,2024-03-08,16,Yes,0,7021,447,6.37,Yes,14
DEL00014,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-11,2024-03-06,8,Yes,0,6408,13,0.22,Yes,18
DEL00100,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-11,2024-03-07,14,Yes,0,6232,333,5.36,Yes,14
DEL00182,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-11,2024-03-10,10,Yes,0,5114,74,1.46,Yes,12
DEL00186,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-11,2024-03-06,8,Yes,0,6979,96,1.39,Yes,12
DEL00427,SUP-006,ClearSeal Packaging,Packaging,2024-03,2024-03-11,2024-03-11,12,Yes,0,4209,121,2.88,Yes,8
DEL00179,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-12,2024-03-10,8,Yes,0,7711,129,1.68,Yes,12
DEL00274,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-12,2024-03-12,19,No,5,1817,77,4.27,Yes,10
DEL00426,SUP-006,ClearSeal Packaging,Packaging,2024-03,2024-03-12,2024-03-11,12,No,7,4650,136,2.94,Yes,8
DEL00181,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-13,2024-03-10,7,Yes,0,2686,36,1.36,Yes,12
DEL00183,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-13,2024-03-08,13,Yes,0,3661,62,1.71,Yes,12
DEL00276,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-13,2024-03-08,17,Yes,0,2932,221,7.54,Yes,10
DEL00573,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-13,2024-03-11,18,Yes,0,4661,150,3.23,Yes,7
DEL00717,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-14,2024-03-09,13,Yes,0,5673,112,1.99,Yes,6
DEL00099,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-15,2024-03-13,11,Yes,0,6159,160,2.61,Yes,14
DEL00647,SUP-009,Northern Flavours Ltd.,Additives,2024-03,2024-03-15,2024-03-13,7,Yes,0,7741,242,3.13,No,9
DEL00718,SUP-010,EcoBox Solutions,Packaging,2024-03,2024-03-15,2024-03-12,7,Yes,0,677,18,2.71,Yes,6
DEL00102,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-17,2024-03-12,12,No,11,3870,114,2.97,Yes,14
DEL00187,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-17,2024-03-15,7,Yes,0,2201,45,2.05,Yes,12
DEL00502,SUP-007,Rocky Mountain Spices,Additives,2024-03,2024-03-17,2024-03-12,8,Yes,0,803,5,0.73,Yes,7
DEL00425,SUP-006,ClearSeal Packaging,Packaging,2024-03,2024-03-18,2024-03-18,4,No,9,6016,185,3.08,Yes,8
DEL00570,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-18,2024-03-14,16,Yes,0,5729,58,1.03,No,7
DEL00571,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-18,2024-03-13,15,No,2,4852,341,7.04,Yes,7
DEL00180,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-19,2024-03-18,10,Yes,0,2263,50,2.25,Yes,12
DEL00649,SUP-009,Northern Flavours Ltd.,Additives,2024-03,2024-03-19,2024-03-15,7,Yes,0,4625,110,2.39,Yes,9
DEL00016,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-20,2024-03-20,8,Yes,0,7533,34,0.46,Yes,18
DEL00097,SUP-002,Maple Packaging Ltd.,Packaging,2024-03,2024-03-20,2024-03-16,15,Yes,0,2478,148,6.01,Yes,14
DEL00280,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-03,2024-03-20,2024-03-19,20,No,6,661,37,5.73,No,10
DEL00362,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-20,2024-03-19,6,Yes,0,5382,60,1.13,Yes,9
DEL00360,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-21,2024-03-17,7,Yes,0,7969,78,0.99,Yes,9
DEL00565,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-23,2024-03-19,17,Yes,0,6174,245,3.98,No,7
DEL00572,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-03,2024-03-23,2024-03-20,7,No,9,7797,586,7.52,Yes,7
DEL00020,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-24,2024-03-22,8,Yes,0,7364,53,0.72,Yes,18
DEL00022,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-24,2024-03-23,7,Yes,0,5532,54,0.99,Yes,18
DEL00019,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-25,2024-03-20,7,Yes,0,1550,16,1.07,Yes,18
DEL00184,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-03,2024-03-25,2024-03-23,10,Yes,0,6215,52,0.85,Yes,12
DEL00363,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-03,2024-03-25,2024-03-25,7,Yes,0,5848,72,1.24,Yes,9
DEL00018,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-03,2024-03-26,2024-03-22,7,Yes,0,754,7,0.95,Yes,18
